GRName,Line,,,1,2,3,4,5,6,7,8,9
Agway Ins Co,Comm Auto,Inc,str 3,1.341386038470257,1.1186894334811004,1.0600040962162403,1.0001147140112814,0.9833934476742524,0.9969025583831105,0.9991090063439602,1.0023809523809524,1.080568720379147
Agway Ins Co,Comm Auto,Inc,str 5,1.2728815585104796,1.1228934876214298,1.0468731556592656,1.025694395154312,1.0284483977700067,0.9988617529105557,0.9991090063439602,1.0023809523809524,1.080568720379147
Agway Ins Co,Comm Auto,Inc,str 10,1.2457428782818214,1.1589881897545002,1.047996036400004,1.030132926194485,1.0284483977700067,0.9988617529105557,0.9991090063439602,1.0023809523809524,1.080568720379147
Agway Ins Co,Comm Auto,Pd,str 3,1.6006927646328644,1.4959275229140732,1.4202128172900836,1.0514264074998863,1.057661447157548,1.018700830249248,1.0064046622952654,1.0104424652314727,1.0
Agway Ins Co,Comm Auto,Pd,str 5,1.6201604301373933,1.3860719014118963,1.3263180668089276,1.0885918401955137,1.0514836426909415,1.0211684798297933,1.0064046622952654,1.0104424652314727,1.0
Agway Ins Co,Comm Auto,Pd,str 10,1.6517141035909835,1.341982577934942,1.269220614206828,1.0855786702483983,1.0514836426909415,1.0211684798297933,1.0064046622952654,1.0104424652314727,1.0
Agway Ins Co,Comm Auto,Inc,wtd 3,1.329767149150409,1.1222570532915361,1.0363159865219018,1.0020859407592824,0.9822866344605475,0.9965181058495822,1.0,1.0022522522522523,1.080568720379147
Agway Ins Co,Comm Auto,Inc,wtd 5,1.2652678905957286,1.1258355129322872,1.0284967320261438,1.0106595602931379,1.0013204225352113,0.9975713418336369,1.0,1.0022522522522523,1.080568720379147
Agway Ins Co,Comm Auto,Inc,wtd 10,1.199582027168234,1.140698538518702,1.030368244858919,1.0129174543163202,1.0013204225352113,0.9975713418336369,1.0,1.0022522522522523,1.080568720379147
Agway Ins Co,Comm Auto,Pd,wtd 3,1.6176470588235294,1.4955673758865249,1.3407821229050279,1.0507389162561576,1.0656324582338903,1.0237410071942445,1.006150061500615,1.0096852300242132,1.0
Agway Ins Co,Comm Auto,Pd,wtd 5,1.6337741607324516,1.3603174603174604,1.2843488649940262,1.0602084137398688,1.061105722599418,1.0242811501597444,1.006150061500615,1.0096852300242132,1.0
Agway Ins Co,Comm Auto,Pd,wtd 10,1.6153370439084724,1.3508474576271186,1.2680228408279801,1.060793593010557,1.061105722599418,1.0242811501597444,1.006150061500615,1.0096852300242132,1.0
Agway Ins Co,PP Auto,Inc,str 3,1.0207602775666889,1.0260059391696108,0.9817635976290752,1.011119037318382,0.9946259525186152,0.9897622341326423,0.9999205794991264,0.9998879440018982,1.0
Agway Ins Co,PP Auto,Inc,str 5,0.9915243764842796,1.0132420747520297,0.9913967130154624,1.0098426524659747,0.9976283579277763,0.9924673972129114,0.9999205794991264,0.9998879440018982,1.0
Agway Ins Co,PP Auto,Inc,str 10,1.0738398327372627,1.024373656031813,0.9982046877177513,1.0098991091595235,0.9976283579277763,0.9924673972129114,0.9999205794991264,0.9998879440018982,1.0
Agway Ins Co,PP Auto,Pd,str 3,1.8219700994934438,1.200416241260369,1.116031014581396,1.0441831544049285,1.0232316524731884,1.0083720832502574,1.002145169168754,1.0003621623195156,1.0
Agway Ins Co,PP Auto,Pd,str 5,1.8659339092635778,1.210198278235588,1.1057405655711658,1.046770591715139,1.0247415146353682,1.0076911594016846,1.002145169168754,1.0003621623195156,1.0
Agway Ins Co,PP Auto,Pd,str 10,1.9113405134888204,1.2022181259657678,1.0969424420698135,1.0469614276833072,1.0247415146353682,1.0076911594016846,1.002145169168754,1.0003621623195156,1.0
Agway Ins Co,PP Auto,Inc,wtd 3,1.0029309726043785,1.030832303717848,0.981460023174971,1.0113790846382358,0.9961892817519656,0.9898749513218813,0.9999589777249046,0.9998794890335021,1.0
Agway Ins Co,PP Auto,Inc,wtd 5,0.9794488082340195,1.0146479606783634,0.9920583180228768,1.0098805860599045,0.9986880154225126,0.9927735176244122,0.9999589777249046,0.9998794890335021,1.0
Agway Ins Co,PP Auto,Inc,wtd 10,1.0685256224667052,1.0267052346738825,0.99963958913161,1.0099390465793303,0.9986880154225126,0.9927735176244122,0.9999589777249046,0.9998794890335021,1.0
Agway Ins Co,PP Auto,Pd,wtd 3,1.8220223956566,1.2023641055523184,1.1170262197145702,1.0427439762350093,1.0248911651728554,1.0082297243484801,1.0022232286220099,1.000361707258259,1.0
Agway Ins Co,PP Auto,Pd,wtd 5,1.8712232326195366,1.2110538235435842,1.1046238386175482,1.0463045414069456,1.0258911503429664,1.007524357696389,1.0022232286220099,1.000361707258259,1.0
Agway Ins Co,PP Auto,Pd,wtd 10,1.9161403347010282,1.2010429496082389,1.0946520741731982,1.0466180289353284,1.0258911503429664,1.007524357696389,1.0022232286220099,1.000361707258259,1.0
Alaska Nat Ins Co,Comm Auto,Inc,str 3,1.437105331275842,1.1460160177835443,1.0398029278835348,1.0152379505112996,1.0278597702315977,0.9937020769758739,0.9902951079421668,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Inc,str 5,1.479766637125095,1.147067095896221,1.0977098675963526,1.0332467997666535,1.0258869379767013,0.9817858326054298,0.9902951079421668,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Inc,str 10,1.3656632171912892,1.2043232808861404,1.047798057881719,1.0322346519794576,1.0258869379767013,0.9817858326054298,0.9902951079421668,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Pd,str 3,2.1081004869315634,1.3623014910526026,1.1318049164594337,1.3165051788285005,1.065027110847913,0.9972648667725427,1.0,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Pd,str 5,2.0083051180844613,1.2611527937558713,1.1125151722298159,1.2235149615269318,1.040402529898792,1.0035806901294697,1.0,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Pd,str 10,1.923798481127565,1.3176520854885843,1.1529868520992643,1.1974707172105736,1.040402529898792,1.0035806901294697,1.0,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Inc,wtd 3,1.4377239199157008,1.150912408759124,1.0321771217712177,1.012288993923025,1.0229049664133907,0.9915679124886053,0.9932775415008918,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Inc,wtd 5,1.4229666319082377,1.1463102970929613,1.0830497488251498,1.0421303656597773,1.022624792342378,0.9838938891520607,0.9932775415008918,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Inc,wtd 10,1.349700860936816,1.1851778656126482,1.0432,1.0403905591458276,1.022624792342378,0.9838938891520607,0.9932775415008918,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Pd,wtd 3,2.112008072653885,1.3767785998861697,1.131679389312977,1.2854911489066296,1.0658107795512375,0.9964473985789595,1.0,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Pd,wtd 5,1.974064974064974,1.2469298245614036,1.1153540964094426,1.198561423433655,1.0479655970889845,1.000484308407594,1.0,1.0,1.0
Alaska Nat Ins Co,Comm Auto,Pd,wtd 10,1.9227474376625364,1.2973755487064538,1.1378391092990434,1.1823612378660915,1.0479655970889845,1.000484308407594,1.0,1.0,1.0
Alaska Nat Ins Co,Other Liab,Inc,str 3,1.6421054494100369,1.0555489990429476,1.1861042378011206,1.0182078535490937,0.9438340773243802,1.0204604709182523,0.995375867887259,0.9906600249066002,1.0
Alaska Nat Ins Co,Other Liab,Inc,str 5,1.733321911418424,1.2670318706493788,1.1943018974876662,1.013225519712918,0.973966491536089,1.0172219169918586,0.995375867887259,0.9906600249066002,1.0
Alaska Nat Ins Co,Other Liab,Inc,str 10,1.58917103763333,1.3255107735906473,1.2144215471009858,1.012040634419277,0.973966491536089,1.0172219169918586,0.995375867887259,0.9906600249066002,1.0
Alaska Nat Ins Co,Other Liab,Pd,str 3,4.997442647548541,1.4958271225858593,1.47390522446232,1.1857796761210306,1.0145112939401912,1.005662210061771,1.0170883701791011,1.0345997286295794,1.0
Alaska Nat Ins Co,Other Liab,Pd,str 5,4.17419477531684,1.4611392941464811,1.4295976756331914,1.1821566218009036,1.0377769437816775,1.0103356505205672,1.0170883701791011,1.0345997286295794,1.0
Alaska Nat Ins Co,Other Liab,Pd,str 10,3.379505957558023,1.5267430126628856,1.3992987536098365,1.2254491456184,1.0377769437816775,1.0103356505205672,1.0170883701791011,1.0345997286295794,1.0
Alaska Nat Ins Co,Other Liab,Inc,wtd 3,1.4759316770186335,1.0590833793484262,1.1538970709912295,1.0390526125474597,0.9517527327553713,1.0235877585581226,0.995819397993311,0.9906054279749478,1.0
Alaska Nat Ins Co,Other Liab,Inc,wtd 5,1.5165470494417863,1.171992361553151,1.156323079690592,1.0180987524160956,0.9766174263369934,1.019971870604782,0.995819397993311,0.9906054279749478,1.0
Alaska Nat Ins Co,Other Liab,Inc,wtd 10,1.4150313971742543,1.2389109819516673,1.1820337375516563,1.0160924584887718,0.9766174263369934,1.019971870604782,0.995819397993311,0.9906054279749478,1.0
Alaska Nat Ins Co,Other Liab,Pd,wtd 3,4.669527896995708,1.5933878663940013,1.3056275017659524,1.2117893755824791,1.0109816526047943,1.006444552529183,1.0201804963650039,1.0333188153310104,1.0
Alaska Nat Ins Co,Other Liab,Pd,wtd 5,3.959605026929982,1.5186788154897495,1.3169412652496542,1.1760034809093876,1.032816382486505,1.0101361135244715,1.0201804963650039,1.0333188153310104,1.0
Alaska Nat Ins Co,Other Liab,Pd,wtd 10,2.9272349272349274,1.5397886853015916,1.3172554347826086,1.21027196057993,1.032816382486505,1.0101361135244715,1.0201804963650039,1.0333188153310104,1.0
Alaska Nat Ins Co,Work Comp,Inc,str 3,1.1606301275592232,1.0142018366448797,1.0177453402286787,1.004633146917749,0.9982807687436842,1.0056941386183864,0.9955515837412614,1.0001601069133328,1.0013702149524706
Alaska Nat Ins Co,Work Comp,Inc,str 5,1.1452895954724887,1.024293049225133,1.0003242726145174,0.9952939362369456,1.0020333185845127,1.0021148954819061,0.9955515837412614,1.0001601069133328,1.0013702149524706
Alaska Nat Ins Co,Work Comp,Inc,str 10,1.1318525102303767,1.0290161991714515,1.008301974313614,0.9930827734575646,1.0020333185845127,1.0021148954819061,0.9955515837412614,1.0001601069133328,1.0013702149524706
Alaska Nat Ins Co,Work Comp,Pd,str 3,2.0250764007808253,1.1939993830870954,1.069936855121686,1.0422877273478386,1.018861093894561,1.0139378943379393,1.0076754546103737,1.0061746467348094,1.0017401896806752
Alaska Nat Ins Co,Work Comp,Pd,str 5,2.024870555168005,1.195793919904338,1.0812274318547115,1.0397452765859223,1.0195826790203888,1.0139861995746693,1.0076754546103737,1.0061746467348094,1.0017401896806752
Alaska Nat Ins Co,Work Comp,Pd,str 10,2.03581838777808,1.208394118740193,1.0807853790058206,1.039294491105294,1.0195826790203888,1.0139861995746693,1.0076754546103737,1.0061746467348094,1.0017401896806752
Alaska Nat Ins Co,Work Comp,Inc,wtd 3,1.162084742391088,1.0132014748156482,1.0171352153658502,1.004291664321495,0.9989796398913708,1.0060046451028153,0.9971106412966878,0.9999235736940655,1.0013702149524706
Alaska Nat Ins Co,Work Comp,Inc,wtd 5,1.1439808628938408,1.0238125372918436,1.0005020547053682,0.997477857938882,1.001088840495978,1.003291294986158,0.9971106412966878,0.9999235736940655,1.0013702149524706
Alaska Nat Ins Co,Work Comp,Inc,wtd 10,1.1369412207178164,1.0271390083722522,1.0060939180308281,0.9958534537056477,1.001088840495978,1.003291294986158,0.9971106412966878,0.9999235736940655,1.0013702149524706
Alaska Nat Ins Co,Work Comp,Pd,wtd 3,2.027364607170099,1.1936726391413486,1.0684103260869566,1.0418438509950672,1.0192174343734521,1.0141687349762551,1.0077545844713227,1.0061704134570035,1.0017401896806752
