,,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,Inc,Inc,Inc,Inc,Inc,Inc,Inc,Inc,Inc,Pd,Pd,Pd,Pd,Pd,Pd,Pd,Pd,Pd
Lag,,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,2_1,3_2,4_3,5_4,6_5,7_6,8_7,9_8,10_9,2_1,3_2,4_3,5_4,6_5,7_6,8_7,9_8,10_9
Line,AY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comm Auto,1988,110231.0,152848.0,168137.0,180062.0,186150.0,188142.0,189352.0,191307.0,191867.0,194000.0,54699.0,108337.0,143899.0,164818.0,179538.0,185391.0,188023.0,189759.0,190520.0,193499.0,1.3866153804283732,1.1000274782790747,1.0709243057744577,1.0338105763570327,1.0107010475423046,1.0064313125192674,1.010324686298534,1.0029272321451908,1.011117075891112,1.980602936068301,1.3282535052659756,1.1453727961973328,1.0893106335473066,1.0326003408749123,1.0141970214303824,1.0092329129946869,1.0040103499702253,1.0156361536846525
Comm Auto,1989,121678.0,158218.0,176744.0,188127.0,192966.0,196104.0,199178.0,199655.0,200949.0,,60091.0,119366.0,151151.0,174665.0,185469.0,192213.0,196152.0,198013.0,199997.0,,1.3003007938986506,1.1170916077816684,1.0644038835830354,1.0257219856798865,1.0162619321538509,1.0156753559335863,1.0023948428039242,1.0064811800355613,,1.986420595430264,1.2662818558048357,1.155566288016619,1.0618555520567945,1.0363618717952865,1.0204928906993804,1.0094875402748889,1.0100195441713422,
Comm Auto,1990,123376.0,175239.0,201955.0,214113.0,219988.0,223308.0,225841.0,226373.0,,,65860.0,130803.0,172390.0,197977.0,210230.0,219267.0,222428.0,224078.0,,,1.4203653871093243,1.1524546476526345,1.0602015300438217,1.027438782325221,1.015091732276306,1.0113430777222492,1.0023556395871431,,,1.9860765259641664,1.3179361329633112,1.1484250826614073,1.0618910277456473,1.0429862531513105,1.014416214022174,1.0074181308108692,,
Comm Auto,1991,117457.0,162601.0,183338.0,198607.0,203398.0,205870.0,206957.0,,,,61946.0,121108.0,158880.0,182689.0,195247.0,201854.0,204911.0,,,,1.384344909200814,1.1275330410022077,1.0832833346060282,1.0241230168120963,1.0121535118339413,1.0052800310875796,,,,1.9550576308397636,1.3118869108564257,1.1498552366565962,1.0687397708674304,1.0338391883101916,1.0151446094702112,,,
Comm Auto,1992,124611.0,166788.0,189771.0,201033.0,206826.0,212361.0,,,,,65043.0,128550.0,164433.0,187508.0,199823.0,208008.0,,,,,1.3384693165129884,1.1377976832865673,1.0593452108067092,1.0288161645103042,1.0267616257143686,,,,,1.976384853097182,1.2791365227537923,1.140330712204971,1.065677197772895,1.0409612507068755,,,,
Comm Auto,1993,137902.0,185952.0,209357.0,220428.0,226541.0,,,,,,72295.0,144579.0,185446.0,208388.0,219345.0,,,,,,1.3484358457455294,1.1258658148339356,1.0528809640948236,1.0277324114903732,,,,,,1.999847845632478,1.282662074021815,1.1237125632259526,1.0525798030596771,,,,,
Comm Auto,1994,150582.0,194528.0,216205.0,231077.0,,,,,,,81988.0,151197.0,189630.0,212446.0,,,,,,,1.2918409902910042,1.111433829577233,1.0687865683032307,,,,,,,1.8441357271795873,1.254191551419671,1.1203185150029005,,,,,,
Comm Auto,1995,150511.0,194730.0,215037.0,,,,,,,,83207.0,152470.0,190974.0,,,,,,,,1.293792480283833,1.104282853181328,,,,,,,,1.832417945605538,1.2525349249032596,,,,,,,
Comm Auto,1996,142301.0,184283.0,,,,,,,,,79699.0,143590.0,,,,,,,,,1.2950225226807963,,,,,,,,,1.8016537221295124,,,,,,,,
Comm Auto,1997,143970.0,,,,,,,,,,75827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liab,1988,22417.0,58806.0,77536.0,103003.0,112976.0,120070.0,124641.0,126954.0,127444.0,128036.0,3962.0,26287.0,53000.0,92637.0,106336.0,116677.0,120616.0,123777.0,125856.0,127920.0,2.623276977294018,1.3185049144645105,1.3284538794882377,1.096822422647884,1.0627920974366236,1.0380694594819688,1.018557296555708,1.0038596657056886,1.004645177489721,6.634780413932357,2.0162057290676,1.747867924528302,1.1478782775780736,1.0972483448690942,1.03375986698321,1.0262071366982821,1.0167963353450156,1.0163996948893974
Other Liab,1989,24740.0,55381.0,76543.0,97608.0,113777.0,124341.0,126171.0,128952.0,132618.0,,6066.0,28297.0,60135.0,84025.0,103086.0,117532.0,122380.0,126114.0,131199.0,,2.2385206143896523,1.3821166103898448,1.275204786851835,1.1656524055405295,1.092848290955114,1.0147175911404926,1.0220415150866682,1.028429182951796,,4.664853280580283,2.1251369403116938,1.3972728028602313,1.226849152038084,1.140135420910696,1.041248340877378,1.0305115214904397,1.040320662257957,
